DATE,ICNSA
1986-12-27,483900
1987-01-03,483977
1987-01-10,710493
1987-01-17,545768
1987-01-24,412977
1987-01-31,435743
1987-02-07,444240
1987-02-14,359219
1987-02-21,332930
1987-02-28,355357
1987-03-07,343065
1987-03-14,321153
1987-03-21,313104
1987-03-28,288648
1987-04-04,308940
1987-04-11,344364
1987-04-18,305201
1987-04-25,285566
1987-05-02,277726
1987-05-09,276773
1987-05-16,283832
1987-05-23,286150
1987-05-30,242793
1987-06-06,299672
1987-06-13,281043
1987-06-20,285191
1987-06-27,294288
1987-07-04,321855
1987-07-11,402706
1987-07-18,361491
1987-07-25,339756
1987-08-01,309433
1987-08-08,296403
1987-08-15,256647
1987-08-22,245058
1987-08-29,243829
1987-09-05,255589
1987-09-12,210375
1987-09-19,243651
1987-09-26,242206
1987-10-03,244736
1987-10-10,291075
1987-10-17,242157
1987-10-24,271190
1987-10-31,261036
1987-11-07,306340
1987-11-14,286334
1987-11-21,354037
1987-11-28,288614
1987-12-05,412297
1987-12-12,372869
1987-12-19,384763
1987-12-26,397287
1988-01-02,465503
1988-01-09,654620
1988-01-16,577975
1988-01-23,412685
1988-01-30,394776
1988-02-06,380906
1988-02-13,334833
1988-02-20,315497
1988-02-27,324517
1988-03-05,312409
1988-03-12,294321
1988-03-19,275545
1988-03-26,269000
1988-04-02,256607
1988-04-09,319713
1988-04-16,273160
1988-04-23,272440
1988-04-30,247619
1988-05-07,267315
1988-05-14,257101
1988-05-21,259640
1988-05-28,255852
1988-06-04,235308
1988-06-11,268052
1988-06-18,264100
1988-06-25,268770
1988-07-02,290079
1988-07-09,335780
1988-07-16,377872
1988-07-23,384920
1988-07-30,311475
1988-08-06,293718
1988-08-13,261066
1988-08-20,253359
1988-08-27,241809
1988-09-03,243944
1988-09-10,220226
1988-09-17,247250
1988-09-24,236230
1988-10-01,226453
1988-10-08,276732
1988-10-15,237722
1988-10-22,264201
1988-10-29,265794
1988-11-05,293412
1988-11-12,257201
1988-11-19,335818
1988-11-26,281841
1988-12-03,391406
1988-12-10,354028
1988-12-17,354768
1988-12-24,413175
1988-12-31,474226
1989-01-07,544138
1989-01-14,519727
1989-01-21,364499
1989-01-28,361331
1989-02-04,340647
1989-02-11,365301
1989-02-18,317676
1989-02-25,288690
1989-03-04,333669
1989-03-11,325019
1989-03-18,291112
1989-03-25,276369
1989-04-01,275799
1989-04-08,321723
1989-04-15,275240
1989-04-22,271002
1989-04-29,247646
1989-05-06,275425
1989-05-13,275507
1989-05-20,260543
1989-05-27,266146
1989-06-03,243246
1989-06-10,295499
1989-06-17,285589
1989-06-24,295338
1989-07-01,319577
1989-07-08,364594
1989-07-15,423847
1989-07-22,365026
1989-07-29,320773
1989-08-05,311584
1989-08-12,291429
1989-08-19,261419
1989-08-26,254488
1989-09-02,259540
1989-09-09,239989
1989-09-16,271903
1989-09-23,262895
1989-09-30,265310
1989-10-07,375972
1989-10-14,284584
1989-10-21,315473
1989-10-28,317538
1989-11-04,336759
1989-11-11,303556
1989-11-18,377814
1989-11-25,316458
1989-12-02,443684
1989-12-09,426514
1989-12-16,420795
1989-12-23,534261
1989-12-30,515926
1990-01-06,581679
1990-01-13,730995
1990-01-20,485424
1990-01-27,440748
1990-02-03,432922
1990-02-10,429764
1990-02-17,364616
1990-02-24,341969
1990-03-03,361937
1990-03-10,355935
1990-03-17,325164
1990-03-24,306391
1990-03-31,297117
1990-04-07,372079
1990-04-14,315624
1990-04-21,324936
1990-04-28,294785
1990-05-05,304160
1990-05-12,299266
1990-05-19,287082
1990-05-26,295476
1990-06-02,273910
1990-06-09,321727
1990-06-16,305690
1990-06-23,316999
1990-06-30,326407
1990-07-07,419256
1990-07-14,448952
1990-07-21,407676
1990-07-28,353149
1990-08-04,336997
1990-08-11,330678
1990-08-18,313804
1990-08-25,302267
1990-09-01,305510
1990-09-08,277768
1990-09-15,323246
1990-09-22,306549
1990-09-29,308080
1990-10-06,361538
1990-10-13,356203
1990-10-20,387444
1990-10-27,394598
1990-11-03,424771
1990-11-10,463874
1990-11-17,433003
1990-11-24,422676
1990-12-01,568583
1990-12-08,574323
1990-12-15,523403
1990-12-22,637449
1990-12-29,649471
1991-01-05,651775
1991-01-12,872742
1991-01-19,691092
1991-01-26,511360
1991-02-02,563060
1991-02-09,574760
1991-02-16,498200
1991-02-23,492325
1991-03-02,504023
1991-03-09,514410
1991-03-16,470801
1991-03-23,477877
1991-03-30,412904
1991-04-06,448082
1991-04-13,459364
1991-04-20,433912
1991-04-27,385153
1991-05-04,384458
1991-05-11,382113
1991-05-18,366492
1991-05-25,365117
1991-06-01,320632
1991-06-08,397682
1991-06-15,369074
1991-06-22,371232
1991-06-29,370372
1991-07-06,427161
1991-07-13,517888
1991-07-20,454655
1991-07-27,408098
1991-08-03,397522
1991-08-10,385740
1991-08-17,344969
1991-08-24,329287
1991-08-31,328040
1991-09-07,302187
1991-09-14,342419
1991-09-21,333110
1991-09-28,334206
1991-10-05,366862
1991-10-12,388370
1991-10-19,344189
1991-10-26,380253
1991-11-02,427789
1991-11-09,473432
1991-11-16,417766
1991-11-23,503032
1991-11-30,433180
1991-12-07,610113
1991-12-14,554059
1991-12-21,555747
1991-12-28,625772
1992-01-04,652046
1992-01-11,882118
1992-01-18,687914
1992-01-25,504838
1992-02-01,508594
1992-02-08,537238
1992-02-15,469794
1992-02-22,429723
1992-02-29,454987
1992-03-07,434426
1992-03-14,417282
1992-03-21,413180
1992-03-28,370883
1992-04-04,393384
1992-04-11,412948
1992-04-18,366621
1992-04-25,364454
1992-05-02,363794
1992-05-09,364100
1992-05-16,341425
1992-05-23,343432
1992-05-30,305080
1992-06-06,374978
1992-06-13,369067
1992-06-20,369995
1992-06-27,370373
1992-07-04,395505
1992-07-11,506050
1992-07-18,452468
1992-07-25,554590
1992-08-01,382138
1992-08-08,366092
1992-08-15,322729
1992-08-22,312436
1992-08-29,309806
1992-09-05,339006
1992-09-12,299189
1992-09-19,345093
1992-09-26,315455
1992-10-03,326938
1992-10-10,353504
1992-10-17,310235
1992-10-24,333005
1992-10-31,331922
1992-11-07,392213
1992-11-14,348011
1992-11-21,401972
1992-11-28,317218
1992-12-05,449726
1992-12-12,424677
1992-12-19,396619
1992-12-26,392612
1993-01-02,487466
1993-01-09,704930
1993-01-16,558516
1993-01-23,410944
1993-01-30,397000
1993-02-06,384707
1993-02-13,344520
1993-02-20,345116
1993-02-27,367412
1993-03-06,364185
1993-03-13,335154
1993-03-20,315473
1993-03-27,330512
1993-04-03,331871
1993-04-10,346648
1993-04-17,321564
1993-04-24,310916
1993-05-01,285098
1993-05-08,301906
1993-05-15,287944
1993-05-22,285444
1993-05-29,291206
1993-06-05,273411
1993-06-12,308535
1993-06-19,304843
1993-06-26,301549
1993-07-03,334335
1993-07-10,362425
1993-07-17,402348
1993-07-24,418260
1993-07-31,320155
1993-08-07,314579
1993-08-14,277263
1993-08-21,270913
1993-08-28,254231
1993-09-04,270528
1993-09-11,238902
1993-09-18,280903
1993-09-25,265510
